timestamps,TP9,AF7,AF8,TP10,Right AUX
1718226380.303,-44.922,-52.246,-46.387,-46.875,0.000
1718226380.307,-39.551,-49.316,-40.527,-37.109,0.000
1718226380.311,-33.203,-46.387,-43.945,-25.391,0.000
1718226380.315,-43.945,-46.387,-46.387,-41.016,0.000
1718226380.319,-52.246,-49.805,-55.664,-47.363,0.000
1718226380.323,-37.598,-50.781,-54.199,-33.691,0.000
1718226380.326,-30.762,-45.410,-47.852,-33.691,0.000
1718226380.330,-26.855,-40.039,-38.574,-28.809,0.000
1718226380.334,-15.137,-40.527,-33.691,-25.879,0.000
1718226380.338,-23.926,-49.805,-43.945,-21.484,0.000
1718226380.342,-34.180,-57.617,-44.434,-21.484,0.000
1718226380.346,-27.344,-54.688,-37.598,-39.062,0.000
1718226380.350,-23.438,-53.711,-38.574,-38.086,0.000
1718226380.354,-20.508,-54.688,-42.480,-29.785,0.000
1718226380.358,-33.203,-49.805,-36.621,-44.922,0.000
1718226380.362,-35.156,-50.293,-35.645,-48.340,0.000
1718226380.366,-29.785,-53.223,-45.898,-42.969,0.000
1718226380.369,-40.039,-55.176,-62.500,-53.711,0.000
1718226380.373,-37.109,-55.664,-51.758,-37.598,0.000
1718226380.377,-49.805,-60.059,-39.062,-43.457,0.000
1718226380.381,-54.199,-61.035,-41.016,-56.152,0.000
1718226380.385,-52.246,-62.500,-40.527,-43.945,0.000
1718226380.389,-59.570,-64.941,-42.969,-45.898,0.000
1718226380.393,-63.477,-67.383,-41.016,-50.293,0.000
1718226380.397,-62.500,-61.035,-40.527,-43.945,0.000
1718226380.401,-57.617,-50.781,-51.270,-48.828,0.000
1718226380.405,-58.594,-54.688,-58.594,-42.480,0.000
